name,hp,hp+,hp5,hp5+,mp,mp+,mp5,mp5+,ad,ad+,as,as+,ar,ar+,mr,mr+,ms,rng
Gragas,600.0,95.0,5.5,0.5,400.0,47.0,6.0,0.8,64.0,3.5,0.625,2.05,35.0,3.6,32.1,1.25,330.0,125.0
Graves,555.0,92.0,8.0,0.7,325.0,40.0,8.0,0.7,68.0,3.0,0.49,2.6,33.0,3.4,30.0,1.0,340.0,425.0
Hecarim,580.0,90.0,7.0,0.75,277.2,40.0,6.5,0.6,66.0,3.2,0.67,2.5,36.0,4.0,32.1,1.25,345.0,175.0
Heimerdinger,488.0,87.0,7.0,0.55,385.0,20.0,8.0,0.8,55.536,2.7,0.625,1.36,19.04,3.0,30.0,0.5,340.0,550.0
Illaoi,585.6,95.0,9.5,0.8,300.0,40.0,7.5,0.75,68.0,5.0,0.571,2.5,35.0,3.8,32.1,1.25,340.0,125.0
Irelia,580.0,95.0,8.5,0.85,350.0,30.0,8.0,0.8,63.0,4.0,0.656,2.5,36.0,3.0,32.0,1.25,335.0,200.0
Ivern,585.0,95.0,7.0,0.85,450.0,60.0,6.0,0.75,50.0,3.0,0.644,3.4,27.0,3.5,32.1,1.25,330.0,475.0
Janna,500.0,70.0,5.5,0.55,350.0,64.0,11.5,0.4,46.0,1.5,0.625,2.95,28.0,3.8,30.0,0.5,315.0,550.0
Jarvan IV,570.0,90.0,8.0,0.7,300.0,40.0,6.5,0.45,64.0,3.4,0.658,2.5,34.0,3.6,32.1,1.25,340.0,175.0
Jax,592.8,85.0,8.5,0.55,338.8,32.0,7.576,0.7,68.0,3.375,0.638,3.4,36.0,3.0,32.1,1.25,350.0,125.0
Jayce,560.0,90.0,6.0,0.6,357.2,37.0,6.0,0.8,54.0,4.25,0.658,3.0,27.0,3.5,30.0,0.5,335.0,125.0
Jhin,556.0,91.0,3.75,0.55,300.0,50.0,6.0,0.8,59.0,4.7,0.625,3.0,24.0,3.5,30.0,0.5,330.0,550.0
Jinx,581.0,84.0,3.75,0.5,245.0,45.0,6.7,1.0,57.0,3.4,0.625,1.0,28.0,3.5,30.0,0.5,325.0,525.0
KaiSa,571.0,86.0,3.5,0.55,344.88,38.0,8.2,0.45,59.0,1.7,0.644,1.8,28.0,3.0,30.0,0.5,335.0,525.0
Kalista,534.0,89.0,3.75,0.55,250.0,45.0,6.3,0.4,69.0,4.0,0.694,4.0,23.0,3.5,30.0,0.5,325.0,525.0
Karma,534.0,95.0,5.5,0.55,374.0,50.0,11.5,0.5,53.544,3.3,0.625,2.3,26.0,3.8,30.0,0.5,335.0,525.0
Karthus,528.0,87.0,6.5,0.55,467.0,30.5,8.0,0.8,45.66,3.25,0.625,2.11,20.88,3.5,30.0,0.5,335.0,450.0
Kassadin,576.0,90.0,6.0,0.5,397.6,67.0,6.0,0.8,58.852,3.9,0.64,3.7,19.0,2.8,30.0,0.5,340.0,150.0
Katarina,602.0,94.0,7.5,0.7,0.0,0.0,0.0,0.0,58.0,3.2,0.658,2.74,27.88,3.5,32.1,1.25,340.0,125.0
Kayle,600.0,85.0,5.0,0.5,330.0,50.0,8.0,0.8,50.0,2.5,0.667,1.5,26.0,3.0,34.0,0.5,335.0,175.0
Kayn,585.0,85.0,8.0,0.75,410.0,50.0,11.5,0.95,68.0,3.3,0.669,2.7,38.0,3.3,32.1,1.25,340.0,175.0
Kennen,541.0,84.0,5.5,0.65,200.0,0.0,50.0,0.0,48.0,3.75,0.625,3.4,29.0,3.75,30.0,0.5,335.0,550.0
KhaZix,572.8,85.0,7.5,0.75,327.2,40.0,7.59,0.5,63.0,3.1,0.668,2.7,36.0,3.0,32.1,1.25,350.0,125.0
Kindred,540.0,85.0,7.0,0.55,300.0,35.0,6.972,0.4,65.0,2.26,0.625,3.5,29.0,3.5,30.0,0.5,325.0,500.0
Kled,400.0,60.0,6.0,0.75,100.0,0.0,0.0,0.0,65.0,3.5,0.625,3.5,35.0,4.0,32.1,1.25,345.0,125.0
KogMaw,534.0,88.0,3.75,0.55,325.0,40.0,8.75,0.7,61.0,3.11,0.665,2.65,24.0,3.5,30.0,0.5,330.0,500.0
LeBlanc,528.0,92.0,7.5,0.55,334.0,50.0,6.0,0.8,54.88,3.5,0.625,1.4,21.88,3.5,30.0,0.5,340.0,525.0
Lee Sin,575.0,85.0,7.5,0.7,200.0,0.0,50.0,0.0,70.0,3.2,0.651,3.0,33.0,3.7,32.1,1.25,345.0,125.0
Leona,576.16,87.0,8.5,0.85,302.2,40.0,6.0,0.8,60.04,3.0,0.625,2.9,47.0,3.6,32.1,1.25,335.0,125.0
Lissandra,550.0,90.0,7.0,0.55,475.0,30.0,8.0,0.4,53.0,2.7,0.625,1.36,22.0,3.7,30.0,0.5,325.0,550.0
Lucian,571.0,86.0,3.75,0.65,348.88,38.0,8.176,0.7,64.0,2.75,0.638,3.3,28.0,3.0,30.0,0.5,335.0,500.0
Lulu,525.0,74.0,6.0,0.6,350.0,55.0,11.0,0.6,46.368,2.6,0.625,2.25,28.22,3.7,30.0,0.5,330.0,550.0
Lux,490.0,85.0,5.5,0.55,480.0,23.5,8.0,0.8,53.54,3.3,0.625,1.0,18.72,4.0,30.0,0.5,330.0,550.0
Malphite,574.2,90.0,7.0,0.55,282.2,40.0,7.324,0.55,61.97,4.0,0.638,3.4,37.0,3.75,32.1,1.25,335.0,125.0
Malzahar,537.0,87.0,6.0,0.6,375.0,27.5,8.0,0.8,55.0,3.0,0.625,1.5,18.0,3.5,30.0,0.5,335.0,500.0
Maokai,565.0,95.0,5.0,0.75,377.28,43.0,7.2,0.6,63.54,3.3,0.695,2.125,39.0,4.0,32.1,1.25,335.0,125.0
Master Yi,598.56,92.0,7.5,0.65,250.56,42.0,7.256,0.45,66.0,3.0,0.679,2.0,33.0,3.0,32.1,1.25,355.0,125.0
Miss Fortune,541.0,91.0,3.75,0.65,325.84,35.0,8.042,0.65,50.0,2.7,0.656,3.0,28.0,3.0,30.0,0.5,325.0,550.0
Mordekaiser,575.0,90.0,5.0,0.75,0.0,0.0,0.0,0.0,61.0,4.0,0.625,1.0,37.0,3.0,32.0,1.25,335.0,175.0
Morgana,560.0,90.0,5.5,0.4,340.0,60.0,11.0,0.4,56.0,3.5,0.625,1.53,25.0,3.8,30.0,0.5,330.0,450.0
Nami,489.32,74.0,5.5,0.55,377.24,43.0,11.5,0.4,51.208,3.1,0.644,2.61,29.0,4.0,30.0,0.5,335.0,550.0
Nasus,561.2,90.0,9.0,0.9,325.6,42.0,7.44,0.5,67.0,3.5,0.638,3.48,34.0,3.5,32.1,1.25,350.0,125.0
Nautilus,576.48,86.0,8.5,0.55,400.0,47.0,8.626,0.5,61.0,3.3,0.612,1.0,39.0,3.75,32.1,1.25,325.0,175.0
Neeko,540.0,90.0,7.5,0.75,450.0,30.0,7.0,0.7,48.0,2.5,0.625,3.0,21.0,4.0,30.0,0.5,340.0,550.0
Nidalee,545.0,85.0,6.0,0.6,295.6,45.0,6.0,0.8,61.0,3.5,0.638,3.22,28.0,3.5,30.0,0.5,335.0,525.0
Nocturne,585.0,85.0,8.5,0.75,275.0,35.0,7.0,0.45,62.0,3.1,0.668,2.7,38.0,3.5,32.1,1.25,345.0,125.0
Nunu,570.0,82.0,5.0,0.8,280.0,42.0,7.0,0.5,61.0,3.0,0.625,2.25,32.0,3.0,32.1,1.25,345.0,125.0
Olaf,597.24,93.0,8.5,0.9,315.6,42.0,7.466,0.575,68.0,3.5,0.694,2.7,35.0,3.0,32.1,1.25,350.0,125.0
Orianna,530.0,91.0,7.0,0.55,418.0,25.0,8.0,0.8,40.368,2.6,0.658,3.5,17.04,3.0,26.0,0.5,325.0,525.0
Ornn,590.0,95.0,9.0,0.9,340.6,45.0,8.01,0.6,69.0,3.5,0.625,2.0,36.0,4.0,32.1,1.25,335.0,175.0
Pantheon,580.0,95.0,10.0,0.65,317.12,31.0,7.356,0.45,64.0,3.3,0.644,2.95,40.0,3.75,28.0,1.25,355.0,175.0
Poppy,540.0,90.0,8.0,0.8,280.0,40.0,7.0,0.7,64.0,4.0,0.625,2.5,38.0,3.5,32.0,1.25,345.0,125.0
Pyke,600.0,90.0,7.0,0.5,415.0,50.0,8.0,1.0,62.0,2.0,0.667,2.5,45.0,5.0,32.0,1.5,330.0,150.0
Qiyana,590.0,90.0,8.5,0.65,320.0,50.0,8.0,0.7,64.0,3.1,0.625,2.1,28.0,3.5,32.1,1.25,335.0,150.0
Quinn,532.8,85.0,5.5,0.55,268.8,35.0,6.972,0.4,59.0,2.4,0.668,3.1,28.0,3.5,30.0,0.5,335.0,525.0
Rakan,540.0,85.0,5.0,0.5,315.0,50.0,8.75,0.5,62.0,3.5,0.635,3.0,32.0,3.9,32.1,1.25,335.0,300.0
Rammus,564.48,86.0,8.0,0.55,310.44,33.0,7.84,0.5,55.88,3.5,0.625,2.215,36.0,4.3,32.1,1.25,335.0,125.0
RekSai,570.0,85.0,7.5,0.65,100.0,0.0,0.0,0.0,64.0,3.0,0.667,2.0,36.0,3.75,32.1,1.25,335.0,175.0
Renekton,575.0,87.0,8.0,0.75,100.0,0.0,0.0,0.0,69.0,3.75,0.665,2.75,35.0,4.0,32.1,1.25,345.0,125.0
Rengar,585.0,90.0,7.0,0.5,4.0,0.0,0.0,0.0,68.0,3.0,0.667,3.0,34.0,3.0,32.1,1.25,345.0,125.0
Riven,558.48,86.0,7.0,0.5,0.0,0.0,0.0,0.0,64.0,3.0,0.625,3.5,33.0,3.2,32.1,1.25,340.0,125.0
Rumble,589.0,85.0,8.0,0.6,100.0,0.0,0.0,0.0,61.036,3.2,0.644,1.85,30.88,3.5,32.1,1.25,345.0,125.0
Ryze,570.48,98.0,8.0,0.8,300.0,50.0,8.0,0.8,55.04,3.0,0.625,2.112,21.552,3.0,34.0,0.5,340.0,550.0
Sejuani,560.0,95.0,8.5,1.0,400.0,40.0,7.0,0.7,66.0,4.0,0.625,3.5,34.0,4.25,32.1,1.25,340.0,150.0
Senna,520.0,85.0,3.5,0.55,350.0,45.0,11.5,0.4,50.0,0.0,0.2,4.0,28.0,3.5,30.0,0.5,330.0,600.0
Shaco,587.0,89.0,8.5,0.55,297.2,40.0,7.156,0.45,63.0,3.0,0.694,3.0,30.0,3.5,32.1,1.25,350.0,125.0
Shen,540.0,85.0,8.5,0.75,400.0,0.0,50.0,0.0,60.0,3.0,0.651,3.0,34.0,3.0,32.1,1.25,340.0,125.0
Shyvana,595.0,95.0,8.5,0.8,100.0,0.0,0.0,0.0,66.0,3.4,0.658,2.5,38.0,3.35,32.1,1.25,350.0,125.0
Singed,610.0,85.0,9.5,0.55,330.0,45.0,7.5,0.55,63.0,3.375,0.613,1.9,37.0,3.5,32.1,1.25,345.0,125.0
Sion,545.0,73.0,7.5,0.8,330.0,42.0,8.0,0.6,68.0,4.0,0.679,1.3,32.0,3.0,32.1,1.25,345.0,175.0
Sivir,532.0,88.0,3.25,0.55,284.0,50.0,8.0,0.9,61.0,3.0,0.625,1.6,26.0,3.25,30.0,0.5,335.0,500.0
Skarner,601.28,90.0,9.0,0.85,320.0,40.0,7.206,0.45,65.0,4.5,0.625,2.1,38.0,3.8,32.1,1.25,335.0,125.0
Sona,482.36,77.0,5.5,0.55,340.6,45.0,11.5,0.4,49.0,3.0,0.644,2.3,28.0,3.3,30.0,0.5,325.0,550.0
Soraka,529.04,78.0,2.5,0.5,350.8,60.0,11.5,0.4,50.04,3.0,0.625,2.14,32.0,3.8,30.0,0.5,325.0,550.0
Swain,525.0,85.0,7.0,0.65,468.0,28.5,8.0,0.8,58.0,2.7,0.625,2.11,22.72,4.0,30.0,0.5,335.0,525.0
Sylas,585.0,95.0,9.0,0.9,280.0,50.0,7.0,0.8,61.0,3.0,0.645,3.5,32.0,3.0,39.0,1.25,340.0,175.0
Syndra,523.0,90.0,6.5,0.6,480.0,40.0,8.0,0.8,53.872,2.9,0.625,2.0,24.712,3.4,30.0,0.5,330.0,550.0
Tahm Kench,600.0,100.0,6.5,0.55,325.0,40.0,8.0,1.0,56.0,3.2,0.658,2.5,47.0,3.5,32.1,1.25,335.0,175.0
Taliyah,532.0,90.0,7.0,0.7,425.0,30.0,9.335,0.85,58.0,3.3,0.625,1.36,20.0,3.5,30.0,0.5,335.0,525.0
Talon,588.0,95.0,8.5,0.75,377.2,37.0,7.6,0.8,68.0,3.1,0.625,2.9,30.0,3.5,39.0,1.25,335.0,125.0
Taric,575.0,90.0,6.0,0.5,300.0,60.0,8.5,0.8,55.0,3.5,0.625,2.0,40.0,3.4,32.1,1.25,340.0,150.0
Teemo,528.0,90.0,5.5,0.65,334.0,20.0,9.6,0.45,54.0,3.0,0.69,3.38,24.3,3.75,30.0,0.5,330.0,500.0
Thresh,560.52,93.0,7.0,0.55,273.92,44.0,6.0,0.8,56.0,2.2,0.625,3.5,28.0,0.0,30.0,0.5,335.0,450.0
Tristana,559.0,88.0,3.75,0.65,250.0,32.0,7.2,0.45,61.0,3.3,0.656,1.5,26.0,3.0,30.0,0.5,325.0,525.0
Trundle,616.28,96.0,6.0,0.75,281.6,45.0,7.508,0.6,68.0,3.0,0.67,2.9,37.0,2.7,32.1,1.25,350.0,175.0
Tryndamere,625.64,98.0,8.5,0.9,100.0,0.0,0.0,0.0,69.0,3.7,0.67,2.9,33.0,3.1,32.1,1.25,345.0,125.0
Twisted Fate,534.0,94.0,5.5,0.6,333.0,19.0,8.0,0.8,49.954,3.3,0.651,3.22,20.542,3.15,30.0,0.5,335.0,525.0
Twitch,582.0,84.0,3.75,0.6,287.2,40.0,7.256,0.45,59.0,3.11,0.679,3.38,27.0,3.0,30.0,0.5,330.0,550.0
Udyr,593.32,99.0,6.0,0.75,270.4,30.0,7.506,0.45,66.0,5.0,0.658,2.67,34.0,4.0,32.1,1.25,345.0,125.0
Urgot,585.0,88.0,7.5,0.7,340.0,45.0,7.25,0.8,63.0,4.0,0.625,3.75,36.0,4.25,32.1,1.25,330.0,350.0
Varus,500.0,89.0,3.5,0.55,360.0,33.0,8.0,0.8,61.0,3.11,0.658,3.0,27.0,3.4,30.0,0.5,330.0,575.0
Vayne,515.0,89.0,3.5,0.55,231.8,35.0,6.972,0.4,60.0,2.36,0.658,3.3,23.0,3.4,30.0,0.5,330.0,550.0
Veigar,505.0,94.0,6.5,0.6,490.0,26.0,8.0,0.8,50.71,2.625,0.625,2.24,22.55,3.75,30.0,0.5,340.0,550.0
VelKoz,520.0,88.0,5.5,0.55,469.0,21.0,8.0,0.8,54.9379,3.1416,0.625,1.36,21.88,3.5,30.0,0.5,340.0,525.0
Vi,585.0,85.0,10.0,1.0,295.0,45.0,8.0,0.65,63.0,3.5,0.644,2.0,30.0,4.0,32.1,1.25,340.0,125.0
Viktor,530.0,90.0,8.0,0.65,405.0,25.0,8.0,0.8,53.0,3.0,0.658,2.11,23.0,4.0,30.0,0.5,335.0,525.0
Vladimir,537.0,96.0,7.0,0.6,2.0,0.0,0.0,0.0,55.0,3.0,0.658,2.0,23.0,3.3,30.0,0.5,330.0,450.0
Volibear,584.48,86.0,8.0,0.65,270.4,30.0,8.092,0.65,68.0,3.3,0.658,2.67,35.0,3.5,32.1,1.25,345.0,125.0
Warwick,550.0,85.0,4.0,0.75,280.0,35.0,7.466,0.575,65.0,3.0,0.638,2.3,33.0,3.2,32.1,1.25,335.0,125.0
Wukong,577.8,85.0,6.0,0.65,265.84,38.0,8.042,0.65,68.0,4.0,0.658,3.0,34.0,3.5,32.1,1.25,345.0,175.0
Xayah,561.0,86.0,3.25,0.75,340.0,40.0,8.25,0.75,60.0,2.9,0.625,3.3,25.0,3.0,30.0,0.5,325.0,525.0
Xerath,526.0,92.0,5.5,0.55,459.0,22.0,8.0,0.8,54.7,3.0,0.625,1.36,21.88,3.5,30.0,0.5,340.0,525.0
Xin Zhao,570.0,92.0,8.0,0.7,273.8,35.0,7.256,0.45,66.0,3.0,0.645,3.5,35.0,3.5,32.1,1.25,345.0,175.0
Yasuo,523.0,87.0,6.5,0.9,100.0,0.0,0.0,0.0,60.0,3.2,0.67,2.5,30.0,3.4,30.0,1.25,345.0,175.0
Yorick,580.0,100.0,8.0,0.8,300.0,40.0,7.5,0.75,62.0,5.0,0.625,2.0,39.0,4.0,32.0,1.25,340.0,175.0
Yuumi,480.0,70.0,7.0,0.55,400.0,45.0,10.0,0.4,55.0,3.1,0.625,1.0,25.0,3.0,25.0,0.3,330.0,500.0
Zac,615.0,95.0,8.0,0.5,0.0,0.0,0.0,0.0,60.0,3.4,0.638,1.6,33.0,3.5,32.0,1.25,340.0,175.0
Zed,584.0,85.0,7.0,0.65,200.0,0.0,50.0,0.0,63.0,3.4,0.651,3.3,32.0,3.5,32.1,1.25,345.0,125.0
Ziggs,536.0,92.0,6.5,0.6,480.0,23.5,8.0,0.8,54.208,3.1,0.656,2.0,21.544,3.3,30.0,0.5,325.0,550.0
Zilean,504.0,82.0,5.5,0.5,452.0,30.0,11.335,0.8,51.64,3.0,0.625,2.13,24.0,3.8,30.0,0.5,335.0,550.0
Zoe,560.0,92.0,6.5,0.6,425.0,25.0,8.0,0.65,58.0,3.3,0.625,2.5,20.8,3.5,30.0,0.5,340.0,550.0
Zyra,504.0,79.0,5.5,0.5,418.0,25.0,13.0,0.4,53.376,3.2,0.625,2.11,29.0,3.0,30.0,0.5,340.0,575.0
